tID,accm_txn_complete_time
8593,2022-05-11 12:34:34 
19420,2022-05-10 01:59:25 
21506,2022-05-11 08:32:17 
14635,2022-05-11 14:02:09 
28737,2022-05-10 14:59:03 
2552,2022-05-11 16:52:15 
1432,2022-05-10 01:22:34 
24634,2022-05-10 06:56:03 
15680,2022-05-11 00:22:43 
8250,2022-05-10 08:52:26 
16246,2022-05-11 12:43:26 
2872,2022-05-11 15:00:31 
1850,2022-05-11 03:08:51 
28175,2022-05-11 04:29:46 
17659,2022-05-11 10:52:28 
16750,2022-05-10 16:18:10 
12090,2022-05-10 18:26:26 
24327,2022-05-10 03:20:42 
11096,2022-05-10 23:29:10 
25449,2022-05-10 02:37:24 
27836,2022-05-11 05:00:00 
23002,2022-05-11 16:42:45 
18767,2022-05-10 12:07:14 
22850,2022-05-10 16:53:55 
12271,2022-05-10 21:02:09 
25969,2022-05-10 18:38:16 
27670,2022-05-10 01:15:52 
2463,2022-05-11 22:45:49 
16731,2022-05-11 02:32:29 
22429,2022-05-10 21:04:49 
18138,2022-05-10 14:36:42 
2542,2022-05-11 06:21:10 
21116,2022-05-11 15:46:01 
19345,2022-05-11 10:57:13 
9765,2022-05-11 20:29:02 
28492,2022-05-11 00:29:01 
22098,2022-05-10 02:23:45 
10392,2022-05-10 08:56:00 
20928,2022-05-10 07:45:22 
36,2022-05-11 10:06:30 
28526,2022-05-10 11:30:21 
21982,2022-05-11 13:43:07 
21037,2022-05-10 03:16:12 
25796,2022-05-10 20:00:06 
14632,2022-05-10 10:46:00 
21621,2022-05-11 01:59:34 
5490,2022-05-11 19:53:16 
9620,2022-05-10 20:18:37 
22790,2022-05-11 23:40:29 
20801,2022-05-10 07:33:26 
10457,2022-05-10 15:13:09 
10239,2022-05-11 17:54:47 
16542,2022-05-11 13:41:57 
11426,2022-05-11 16:10:25 
22290,2022-05-10 10:13:47 
7880,2022-05-10 13:07:13 
10771,2022-05-10 06:52:48 
23232,2022-05-10 13:15:49 
12224,2022-05-11 16:29:50 
3040,2022-05-10 04:45:33 
16919,2022-05-11 00:14:27 
25488,2022-05-11 09:34:23 
26829,2022-05-10 04:07:15 
9642,2022-05-10 23:11:46 
5447,2022-05-11 16:28:01 
14259,2022-05-10 20:32:54 
3408,2022-05-10 14:59:01 
28964,2022-05-11 20:07:18 
25061,2022-05-11 16:02:57 
6507,2022-05-11 18:01:21 
10382,2022-05-11 14:42:06 
29214,2022-05-11 21:16:28 
28651,2022-05-10 13:18:40 
9279,2022-05-10 13:53:16 
7403,2022-05-11 15:57:49 
20096,2022-05-10 05:25:37 
21617,2022-05-11 23:21:02 
25873,2022-05-11 15:51:22 
11640,2022-05-11 04:42:31 
16945,2022-05-10 18:47:32 
11940,2022-05-11 09:40:24 
19653,2022-05-11 08:18:18 
21474,2022-05-11 04:34:47 
29587,2022-05-10 16:07:31 
11881,2022-05-11 09:38:56 
3412,2022-05-11 14:50:08 
24022,2022-05-10 16:31:57 
13610,2022-05-11 17:03:21 
14453,2022-05-11 17:06:55 
1630,2022-05-10 08:14:58 
14034,2022-05-11 01:18:00 
19485,2022-05-11 05:31:50 
8696,2022-05-10 22:46:03 
25802,2022-05-10 21:00:29 
18856,2022-05-11 09:29:20 
4170,2022-05-11 19:16:57 
19065,2022-05-10 20:21:07 
19853,2022-05-10 08:46:19 
11473,2022-05-10 05:03:32 
2251,2022-05-10 10:39:17 
12164,2022-05-10 06:23:37 
5055,2022-05-11 12:47:25 
921,2022-05-11 11:20:01 
7657,2022-05-11 07:59:55 
27228,2022-05-10 18:17:40 
11105,2022-05-10 11:05:50 
3177,2022-05-10 17:35:18 
7667,2022-05-11 08:23:47 
27295,2022-05-10 21:29:16 
11670,2022-05-10 01:47:52 
20927,2022-05-11 00:06:09 
29161,2022-05-10 05:40:16 
17240,2022-05-10 06:10:07 
3254,2022-05-11 19:46:50 
20328,2022-05-11 09:16:19 
14021,2022-05-10 22:51:48 
23636,2022-05-10 15:48:26 
27336,2022-05-10 10:35:26 
13576,2022-05-10 10:32:18 
9820,2022-05-11 00:07:02 
208,2022-05-10 23:50:53 
25652,2022-05-11 02:18:04 
27904,2022-05-11 13:08:35 
13770,2022-05-11 13:18:45 
8929,2022-05-11 15:21:00 
8485,2022-05-11 15:01:43 
13915,2022-05-10 07:56:50 
21125,2022-05-11 21:28:44 
13529,2022-05-11 12:39:10 
18429,2022-05-10 16:25:46 
20464,2022-05-11 21:04:27 
19580,2022-05-10 19:01:14 
17153,2022-05-10 18:51:24 
15762,2022-05-10 07:17:17 
27380,2022-05-10 12:37:28 
9038,2022-05-11 17:37:22 
6897,2022-05-10 23:10:56 
16648,2022-05-10 11:41:21 
21812,2022-05-10 01:16:21 
18869,2022-05-11 14:04:15 
8528,2022-05-11 15:03:19 
1223,2022-05-10 21:19:27 
25489,2022-05-10 02:13:43 
6937,2022-05-11 09:12:53 
29826,2022-05-10 19:12:49 
3517,2022-05-11 10:52:14 
13298,2022-05-11 19:28:15 
9201,2022-05-11 09:01:28 
28915,2022-05-10 14:23:12 
25,2022-05-10 05:55:04 
19926,2022-05-11 05:54:21 
21466,2022-05-11 03:28:01 
4820,2022-05-10 15:06:19 
3593,2022-05-11 11:45:08 
21331,2022-05-11 11:55:14 
15488,2022-05-10 17:35:57 
11593,2022-05-10 03:09:27 
23507,2022-05-10 04:51:22 
9526,2022-05-10 04:38:16 
24646,2022-05-11 21:43:09 
10270,2022-05-10 20:36:19 
5719,2022-05-10 18:17:26 
20376,2022-05-10 06:04:42 
3835,2022-05-11 16:59:24 
7731,2022-05-10 12:59:41 
4089,2022-05-10 09:34:00 
26834,2022-05-11 00:52:17 
318,2022-05-11 11:10:18 
21247,2022-05-10 04:28:32 
9754,2022-05-11 23:16:25 
13029,2022-05-10 08:55:01 
11311,2022-05-10 09:08:35 
13537,2022-05-11 05:17:43 
447,2022-05-11 11:16:20 
26393,2022-05-11 04:44:54 
15026,2022-05-11 12:28:37 
24144,2022-05-10 09:19:14 
6791,2022-05-10 09:32:59 
24795,2022-05-11 04:23:52 
13678,2022-05-10 16:15:46 
8343,2022-05-11 13:14:10 
13366,2022-05-11 03:18:03 
7185,2022-05-11 18:39:55 
4390,2022-05-10 19:42:31 
13783,2022-05-11 06:59:39 
4218,2022-05-10 07:56:42 
8562,2022-05-10 18:53:16 
10455,2022-05-11 06:16:39 
12726,2022-05-10 19:54:34 
3166,2022-05-10 12:23:20 
27782,2022-05-10 09:16:15 
1301,2022-05-10 04:03:10 
4206,2022-05-11 07:59:53 
28114,2022-05-10 08:37:34 
28698,2022-05-10 00:39:27 
25702,2022-05-10 00:11:47 
2654,2022-05-11 15:42:39 
688,2022-05-11 10:56:07 
19047,2022-05-10 01:14:04 
26457,2022-05-10 17:20:59 
10030,2022-05-11 13:19:44 
4974,2022-05-10 20:46:46 
24195,2022-05-10 17:13:16 
25338,2022-05-11 11:26:27 
21456,2022-05-10 18:18:18 
2880,2022-05-10 12:49:41 
18978,2022-05-10 02:26:17 
22456,2022-05-11 16:33:10 
6339,2022-05-11 11:41:01 
24930,2022-05-11 13:16:09 
27163,2022-05-11 03:59:23 
18672,2022-05-11 09:20:51 
15119,2022-05-10 22:27:58 
27780,2022-05-10 02:33:58 
16361,2022-05-10 11:34:29 
28632,2022-05-10 08:20:08 
22705,2022-05-10 16:13:42 
8068,2022-05-11 10:02:01 
2991,2022-05-10 21:35:10 
24108,2022-05-11 05:00:11 
28675,2022-05-10 04:34:15 
29970,2022-05-11 10:51:45 
27725,2022-05-10 19:49:55 
5508,2022-05-10 08:12:46 
24224,2022-05-11 22:20:51 
26726,2022-05-11 17:03:42 
1475,2022-05-10 23:47:14 
11312,2022-05-11 22:03:17 
29275,2022-05-10 01:52:25 
10452,2022-05-10 18:57:09 
5543,2022-05-11 16:47:15 
7235,2022-05-11 16:37:06 
9809,2022-05-10 02:07:45 
26916,2022-05-11 00:52:18 
1647,2022-05-10 18:03:03 
4420,2022-05-10 07:24:19 
7165,2022-05-10 20:23:33 
28353,2022-05-11 04:03:23 
17260,2022-05-10 20:55:37 
24652,2022-05-11 14:57:13 
15695,2022-05-11 20:46:42 
26314,2022-05-10 09:15:13 
2271,2022-05-10 21:05:33 
21806,2022-05-10 02:49:46 
9837,2022-05-10 16:49:37 
2686,2022-05-10 03:58:27 
24896,2022-05-10 13:54:12 
27686,2022-05-11 13:35:02 
9354,2022-05-10 05:06:11 
24340,2022-05-10 04:59:01 
10669,2022-05-10 08:16:49 
19894,2022-05-11 02:08:33 
4681,2022-05-11 03:54:19 
27799,2022-05-11 00:54:58 
6136,2022-05-11 18:34:48 
19117,2022-05-10 08:20:11 
22719,2022-05-11 02:59:25 
11218,2022-05-11 08:11:35 
2728,2022-05-11 00:53:41 
7438,2022-05-10 01:49:10 
18778,2022-05-10 15:05:07 
26378,2022-05-10 16:31:32 
8927,2022-05-10 20:54:37 
8293,2022-05-10 09:02:08 
27477,2022-05-11 03:27:20 
11477,2022-05-10 19:42:06 
23229,2022-05-10 19:33:13 
17993,2022-05-10 12:07:38 
14686,2022-05-10 09:23:27 
7652,2022-05-10 23:05:07 
1495,2022-05-11 12:21:02 
3720,2022-05-10 18:25:30 
26220,2022-05-10 11:26:25 
3518,2022-05-10 00:49:24 
17147,2022-05-10 23:47:43 
26757,2022-05-10 00:26:43 
24364,2022-05-10 05:54:33 
20205,2022-05-11 08:29:43 
3164,2022-05-10 20:49:06 
20000,2022-05-10 09:40:01 
21170,2022-05-10 15:05:19 
12595,2022-05-11 10:06:32 
3805,2022-05-11 03:35:34 
26144,2022-05-10 03:49:24 
25989,2022-05-11 10:32:37 
9720,2022-05-11 09:14:54 
768,2022-05-10 05:44:17 
9850,2022-05-11 09:28:03 
6632,2022-05-10 18:51:00 
15001,2022-05-10 04:07:56 
7567,2022-05-10 14:59:31 
25321,2022-05-11 00:51:55 
18067,2022-05-10 10:38:20 
19981,2022-05-11 00:08:10 
22006,2022-05-11 09:18:32 
16443,2022-05-11 20:37:01 
15253,2022-05-10 22:46:52 
8948,2022-05-11 04:10:24 
12276,2022-05-10 20:36:47 
16384,2022-05-10 07:19:53 
4676,2022-05-10 16:34:41 
13691,2022-05-11 08:40:21 
6103,2022-05-10 04:38:59 
22750,2022-05-11 09:56:00 
17984,2022-05-11 02:49:59 
27607,2022-05-10 08:21:12 
23230,2022-05-11 11:45:46 
29861,2022-05-10 12:16:21 
3756,2022-05-11 07:23:28 
12631,2022-05-11 18:56:57 
21665,2022-05-11 17:10:23 
21221,2022-05-10 03:43:42 
25414,2022-05-11 02:37:27 
1148,2022-05-10 20:33:41 
4299,2022-05-10 09:19:39 
4542,2022-05-11 23:38:34 
9714,2022-05-10 03:32:27 
23175,2022-05-11 16:52:55 
9742,2022-05-10 10:19:43 
12109,2022-05-11 03:05:03 
19175,2022-05-11 23:10:50 
26352,2022-05-11 06:15:37 
11421,2022-05-10 17:36:42 
10699,2022-05-11 14:33:48 
21690,2022-05-11 18:30:06 
576,2022-05-11 14:45:21 
10203,2022-05-11 12:00:07 
28943,2022-05-10 20:12:57 
28443,2022-05-10 03:32:46 
3803,2022-05-10 15:25:17 
22573,2022-05-10 09:43:04 
17385,2022-05-11 05:02:34 
6539,2022-05-10 01:27:30 
19170,2022-05-11 23:10:23 
5787,2022-05-11 23:42:00 
4106,2022-05-10 10:09:53 
5670,2022-05-10 14:47:36 
5565,2022-05-10 15:47:50 
26562,2022-05-10 07:04:46 
21379,2022-05-11 22:09:12 
5781,2022-05-10 05:22:42 
6444,2022-05-11 09:32:29 
24057,2022-05-11 16:38:30 
12095,2022-05-11 02:03:21 
8042,2022-05-11 18:30:08 
11122,2022-05-10 07:05:32 
24710,2022-05-11 00:25:38 
18729,2022-05-11 03:56:14 
26588,2022-05-10 06:46:12 
25125,2022-05-11 10:46:50 
214,2022-05-10 15:26:59 
2729,2022-05-11 08:31:03 
476,2022-05-10 16:39:24 
11336,2022-05-10 23:39:33 
25254,2022-05-10 19:15:00 
22760,2022-05-10 10:43:20 
17968,2022-05-11 23:38:07 
12856,2022-05-11 17:07:16 
46,2022-05-10 03:40:54 
18519,2022-05-10 19:51:38 
23263,2022-05-10 14:01:01 
19530,2022-05-11 16:57:57 
26404,2022-05-10 07:40:30 
22065,2022-05-11 07:04:26 
16680,2022-05-10 23:46:16 
20573,2022-05-11 00:04:49 
3442,2022-05-10 02:28:10 
26259,2022-05-11 17:50:47 
1593,2022-05-10 20:49:24 
13835,2022-05-11 14:36:54 
23573,2022-05-11 19:16:29 
14946,2022-05-11 11:32:38 
683,2022-05-10 19:18:54 
19741,2022-05-10 02:32:16 
25703,2022-05-11 07:19:18 
14184,2022-05-11 21:26:55 
11530,2022-05-11 22:00:53 
19478,2022-05-10 04:38:32 
23687,2022-05-11 15:15:17 
11491,2022-05-10 07:32:14 
9890,2022-05-11 13:20:38 
14286,2022-05-10 09:41:17 
5242,2022-05-10 08:06:48 
12430,2022-05-10 12:05:27 
10062,2022-05-11 18:12:08 
15479,2022-05-11 14:36:31 
1764,2022-05-10 23:19:14 
10293,2022-05-10 11:43:19 
9257,2022-05-10 13:30:37 
11794,2022-05-10 07:50:58 
3677,2022-05-10 11:31:48 
14178,2022-05-10 20:15:37 
15400,2022-05-11 05:42:47 
26565,2022-05-11 03:19:47 
9324,2022-05-10 04:34:31 
27319,2022-05-10 08:17:05 
27659,2022-05-11 18:32:24 
2474,2022-05-11 14:41:56 
19759,2022-05-10 18:09:21 
14675,2022-05-11 07:26:24 
1328,2022-05-11 14:18:28 
10240,2022-05-10 02:35:43 
1709,2022-05-11 06:14:13 
20637,2022-05-10 16:02:34 
6055,2022-05-10 12:45:53 
7635,2022-05-11 06:12:04 
27222,2022-05-11 05:30:07 
988,2022-05-10 20:14:55 
3479,2022-05-11 22:49:19 
7221,2022-05-11 13:56:05 
28682,2022-05-11 21:36:29 
5782,2022-05-10 09:39:58 
28354,2022-05-11 05:34:49 
1249,2022-05-11 14:08:14 
3883,2022-05-10 22:10:40 
1253,2022-05-11 07:18:49 
14140,2022-05-11 11:29:30 
27165,2022-05-11 21:35:24 
10999,2022-05-11 12:45:59 
9454,2022-05-10 09:44:43 
25543,2022-05-10 09:10:48 
19777,2022-05-11 16:04:39 
14665,2022-05-10 04:40:27 
14466,2022-05-10 23:27:40 
25801,2022-05-11 06:13:31 
12741,2022-05-10 05:42:24 
2847,2022-05-10 01:06:12 
14084,2022-05-10 09:09:18 
17345,2022-05-10 20:26:34 
15708,2022-05-10 07:08:18 
11660,2022-05-10 19:50:28 
23136,2022-05-10 06:30:39 
953,2022-05-10 04:03:07 
17312,2022-05-10 14:10:26 
18355,2022-05-10 11:22:52 
3464,2022-05-11 02:32:58 
22126,2022-05-11 19:01:26 
24598,2022-05-11 12:47:33 
26260,2022-05-10 09:06:07 
15120,2022-05-10 12:07:27 
24743,2022-05-10 16:19:14 
29738,2022-05-11 02:08:45 
18807,2022-05-11 20:26:43 
13550,2022-05-10 06:25:40 
21202,2022-05-11 07:13:30 
21561,2022-05-11 01:57:57 
12772,2022-05-11 12:34:03 
9468,2022-05-11 16:44:29 
28876,2022-05-10 04:30:17 
3817,2022-05-10 22:09:58 
24591,2022-05-11 17:06:33 
29797,2022-05-10 15:55:29 
21184,2022-05-10 15:25:59 
20930,2022-05-10 16:55:53 
16366,2022-05-11 18:08:42 
21218,2022-05-11 08:35:53 
26445,2022-05-10 06:20:59 
18526,2022-05-10 03:20:19 
10609,2022-05-10 03:09:34 
18575,2022-05-11 23:54:48 
18855,2022-05-10 14:05:11 
21611,2022-05-10 06:54:37 
21102,2022-05-10 11:04:51 
20626,2022-05-10 04:06:04 
1930,2022-05-10 16:23:46 
6818,2022-05-11 13:48:38 
24737,2022-05-10 08:18:06 
6418,2022-05-11 14:58:19 
29988,2022-05-10 06:21:38 
20776,2022-05-10 23:31:33 
24867,2022-05-11 01:26:26 
16305,2022-05-11 11:07:34 
20377,2022-05-10 21:19:12 
8943,2022-05-10 05:45:22 
12747,2022-05-10 14:48:46 
2456,2022-05-11 16:51:23 
2320,2022-05-11 20:53:57 
22701,2022-05-11 06:19:26 
11586,2022-05-11 17:56:15 
14761,2022-05-11 17:36:45 
6645,2022-05-11 09:02:07 
16918,2022-05-11 12:46:58 
6116,2022-05-10 20:23:40 
18832,2022-05-10 22:28:29 
4996,2022-05-10 11:27:02 
20810,2022-05-10 16:56:51 
4913,2022-05-10 18:53:21 
8793,2022-05-11 12:48:13 
19715,2022-05-11 22:37:42 
8136,2022-05-11 16:48:25 
371,2022-05-10 07:42:28 
14938,2022-05-11 00:57:21 
1114,2022-05-10 21:34:03 
25577,2022-05-11 08:00:52 
12188,2022-05-10 07:46:18 
4498,2022-05-10 16:09:29 
12881,2022-05-11 20:13:43 
19985,2022-05-11 12:11:19 
22647,2022-05-11 08:52:16 
25451,2022-05-10 19:19:11 
24346,2022-05-10 07:07:52 
13551,2022-05-11 10:48:27 
16455,2022-05-11 01:06:15 
28384,2022-05-11 19:02:14 
27501,2022-05-10 23:19:11 
2265,2022-05-10 02:05:11 
3217,2022-05-10 04:03:12 
22361,2022-05-10 13:31:14 
8866,2022-05-11 00:13:16 
27124,2022-05-11 23:49:01 
26394,2022-05-11 22:09:44 
26808,2022-05-10 03:07:31 
28369,2022-05-10 16:52:40 
7661,2022-05-11 04:24:30 
22324,2022-05-11 13:43:09 
28381,2022-05-11 01:00:46 
17803,2022-05-10 09:48:35 
22870,2022-05-11 14:51:05 
17748,2022-05-11 07:50:48 
17977,2022-05-10 03:58:50 
12752,2022-05-10 16:14:57 
9918,2022-05-10 15:11:49 
5779,2022-05-10 15:22:01 
23901,2022-05-11 13:19:41 
17521,2022-05-11 18:37:33 
7649,2022-05-10 00:57:12 
7335,2022-05-11 15:12:35 
9956,2022-05-10 08:02:55 
29032,2022-05-10 11:37:03 
20503,2022-05-11 21:00:09 
25944,2022-05-10 15:00:15 
25339,2022-05-11 16:45:26 
23957,2022-05-11 09:30:06 
2226,2022-05-11 16:34:27 
13324,2022-05-10 03:42:33 
6869,2022-05-11 04:33:11 
3608,2022-05-10 00:35:21 
24046,2022-05-10 18:28:46 
9442,2022-05-11 18:37:58 
25204,2022-05-10 22:19:23 
1514,2022-05-10 13:22:40 
7047,2022-05-10 16:51:05 
5747,2022-05-11 16:36:03 
5427,2022-05-10 22:22:35 
9831,2022-05-11 09:09:07 
15662,2022-05-10 03:52:55 
18520,2022-05-11 12:22:46 
12997,2022-05-11 03:27:18 
5349,2022-05-11 21:28:26 
2898,2022-05-10 14:31:18 
21066,2022-05-11 06:48:38 
6523,2022-05-11 07:39:47 
22177,2022-05-10 18:03:19 
11379,2022-05-11 11:50:38 
21068,2022-05-10 05:41:51 
14780,2022-05-10 06:58:20 
23898,2022-05-10 03:54:12 
19251,2022-05-10 03:27:04 
19280,2022-05-11 11:32:48 
26395,2022-05-11 03:38:51 
26658,2022-05-10 15:53:10 
22064,2022-05-10 15:37:24 
29967,2022-05-11 17:41:49 
13006,2022-05-10 00:35:28 
20861,2022-05-10 05:57:57 
3698,2022-05-10 01:47:10 
21219,2022-05-10 07:27:00 
19922,2022-05-10 05:50:12 
8093,2022-05-10 08:25:55 
6007,2022-05-11 03:57:34 
12021,2022-05-10 00:26:27 
13938,2022-05-11 01:20:12 
23426,2022-05-10 21:43:34 
13930,2022-05-10 16:39:11 
8695,2022-05-10 07:03:19 
7915,2022-05-10 02:48:31 
23208,2022-05-10 02:42:19 
1713,2022-05-10 19:57:32 
8491,2022-05-10 21:37:00 
21819,2022-05-11 17:56:53 
28254,2022-05-11 08:30:52 
8316,2022-05-10 08:19:02 
5081,2022-05-11 11:39:27 
29999,2022-05-10 23:08:09 
15744,2022-05-11 12:55:52 
4320,2022-05-11 06:37:57 
28340,2022-05-11 18:17:05 
13234,2022-05-11 17:34:10 
16972,2022-05-11 15:09:51 
18836,2022-05-10 18:14:32 
23753,2022-05-10 11:43:46 
4672,2022-05-10 09:15:12 
8147,2022-05-11 22:38:32 
2706,2022-05-11 17:54:55 
28886,2022-05-10 08:07:03 
15646,2022-05-11 03:38:43 
4908,2022-05-11 12:31:58 
19214,2022-05-10 15:10:47 
9797,2022-05-10 06:54:50 
28985,2022-05-11 12:03:15 
8253,2022-05-11 03:27:08 
6,2022-05-11 13:44:17 
9529,2022-05-10 02:47:48 
27852,2022-05-10 18:12:24 
9501,2022-05-10 07:46:02 
15239,2022-05-11 11:01:54 
13567,2022-05-11 23:21:29 
16126,2022-05-11 06:46:33 
26703,2022-05-10 17:02:04 
15703,2022-05-11 17:21:51 
16557,2022-05-11 05:35:35 
22856,2022-05-10 08:52:01 
29026,2022-05-11 03:47:44 
6724,2022-05-11 17:44:34 
17771,2022-05-11 23:03:55 
16988,2022-05-11 14:08:37 
12220,2022-05-11 16:10:13 
27691,2022-05-11 18:46:41 
3660,2022-05-10 12:27:24 
26373,2022-05-11 21:47:30 
8277,2022-05-11 06:41:11 
11616,2022-05-11 07:07:40 
19882,2022-05-11 18:53:26 
11879,2022-05-10 18:04:48 
14893,2022-05-11 01:39:41 
9506,2022-05-11 21:56:09 
8626,2022-05-11 16:24:45 
24588,2022-05-10 04:27:21 
20903,2022-05-11 20:30:47 
9369,2022-05-11 01:49:54 
9107,2022-05-10 07:27:35 
15000,2022-05-11 00:48:16 
12232,2022-05-10 18:18:50 
221,2022-05-11 03:32:38 
5375,2022-05-11 12:17:57 
9650,2022-05-11 11:46:59 
295,2022-05-11 22:39:35 
13758,2022-05-10 08:24:59 
22776,2022-05-10 18:12:37 
14913,2022-05-10 09:19:30 
17433,2022-05-10 18:42:21 
18557,2022-05-11 11:45:30 
189,2022-05-10 20:07:13 
11072,2022-05-11 03:54:13 
13738,2022-05-10 19:46:43 
7805,2022-05-10 16:39:10 
15112,2022-05-10 08:13:30 
1649,2022-05-10 00:05:12 
2760,2022-05-10 20:07:19 
14401,2022-05-11 00:22:09 
19869,2022-05-10 04:10:09 
26284,2022-05-11 05:25:41 
10767,2022-05-11 07:54:44 
26276,2022-05-10 10:57:20 
13092,2022-05-11 07:46:47 
20550,2022-05-10 19:52:02 
6561,2022-05-11 04:44:45 
19709,2022-05-10 20:14:35 
13558,2022-05-11 15:11:07 
7848,2022-05-11 18:21:02 
4788,2022-05-11 20:50:48 
28541,2022-05-11 19:16:16 
21162,2022-05-11 19:05:37 
9899,2022-05-10 17:12:13 
13066,2022-05-10 08:08:36 
20228,2022-05-11 02:44:05 
8084,2022-05-10 10:38:23 
17710,2022-05-10 23:38:26 
14593,2022-05-10 08:55:44 
1215,2022-05-11 07:32:20 
5204,2022-05-10 22:09:54 
3035,2022-05-11 07:34:22 
1144,2022-05-11 03:53:54 
25087,2022-05-11 23:03:34 
1241,2022-05-11 17:50:04 
11160,2022-05-11 20:14:38 
29909,2022-05-10 09:25:47 
25417,2022-05-11 14:30:41 
21945,2022-05-10 19:59:40 
11301,2022-05-10 07:33:27 
29144,2022-05-10 16:33:09 
10945,2022-05-10 16:05:45 
10796,2022-05-11 10:29:55 
17303,2022-05-10 01:35:16 
28421,2022-05-10 19:00:47 
22107,2022-05-10 18:39:33 
15175,2022-05-11 18:49:04 
22694,2022-05-11 00:25:19 
7356,2022-05-10 04:48:56 
17269,2022-05-11 14:31:40 
27412,2022-05-10 17:51:16 
15339,2022-05-11 10:06:20 
2634,2022-05-10 01:04:41 
24486,2022-05-11 15:38:31 
847,2022-05-11 19:57:38 
28465,2022-05-10 15:52:47 
21669,2022-05-11 22:19:30 
29569,2022-05-11 09:06:46 
10195,2022-05-11 11:52:54 
4386,2022-05-10 12:27:35 
1876,2022-05-10 19:17:59 
17943,2022-05-10 18:52:22 
2915,2022-05-10 22:19:10 
1953,2022-05-11 17:43:23 
23304,2022-05-11 08:23:11 
29073,2022-05-10 17:39:59 
19463,2022-05-10 10:56:00 
24960,2022-05-10 18:28:47 
21992,2022-05-10 07:24:29 
25722,2022-05-11 07:10:15 
13549,2022-05-10 22:57:57 
7134,2022-05-11 02:28:17 
23980,2022-05-11 10:49:18 
19267,2022-05-11 07:25:13 
22923,2022-05-10 19:45:06 
24016,2022-05-11 00:40:28 
27915,2022-05-10 01:04:30 
19085,2022-05-10 16:40:56 
15018,2022-05-10 17:44:07 
27019,2022-05-11 06:05:18 
74,2022-05-11 16:27:41 
29570,2022-05-10 01:34:41 
12243,2022-05-11 06:34:23 
1339,2022-05-11 12:04:13 
831,2022-05-10 18:20:06 
28607,2022-05-11 04:40:39 
6618,2022-05-11 13:53:06 
13904,2022-05-10 02:11:23 
818,2022-05-10 21:21:30 
15340,2022-05-10 05:54:48 
28968,2022-05-10 13:15:49 
18809,2022-05-10 09:38:02 
27057,2022-05-10 22:43:18 
18599,2022-05-10 05:27:40 
